9-Layer SendToString — Encode/Decode table (implemented set)
blend model: out = round((src*128 + dst*127)/255); bottom alpha 1

Layer legend (top -> bottom):
  L1 = R2 (top)
  L2 = G38
  L3 = G4
  L4 = B46
  L5 = B222
  L6 = B62
  L7 = R124
  L8 = G252
  L9 = B255 (bottom, alpha 1)

mask bits เรียง L9..L1 (ซ้าย = ชั้นล่างสุด); 1 = layer เปิด

mask(L9..L1)   layers ON                            R   G   B   hex
------------------------------------------------------------------------
010111111      L1+L2+L3+L4+L5+L6+L8                 1  12  10   0x010C0A
011000000      L7+L8                               62  63   0   0x3E3F00
011000001      L1+L7+L8                            32  31   0   0x201F00
011000010      L2+L7+L8                            31  50   0   0x1F3200
011000011      L1+L2+L7+L8                         16  25   0   0x101900
011000100      L3+L7+L8                            31  33   0   0x1F2100
011000101      L1+L3+L7+L8                         16  16   0   0x101000
011000110      L2+L3+L7+L8                         15  36   0   0x0F2400
011000111      L1+L2+L3+L7+L8                       8  18   0   0x081200
011001000      L4+L7+L8                            31  31  23   0x1F1F17
011001001      L1+L4+L7+L8                         16  15  11   0x100F0B
011001010      L2+L4+L7+L8                         15  35  11   0x0F230B
011001011      L1+L2+L4+L7+L8                       8  17   5   0x081105
011001100      L3+L4+L7+L8                         15  17  11   0x0F110B
011001101      L1+L3+L4+L7+L8                       8   8   5   0x080805
011001110      L2+L3+L4+L7+L8                       7  28   5   0x071C05
011001111      L1+L2+L3+L4+L7+L8                    4  14   2   0x040E02
011010000      L5+L7+L8                            31  31 111   0x1F1F6F
011010001      L1+L5+L7+L8                         16  15  55   0x100F37
011010010      L2+L5+L7+L8                         15  35  55   0x0F2337
011010011      L1+L2+L5+L7+L8                       8  17  27   0x08111B
011010100      L3+L5+L7+L8                         15  17  55   0x0F1137
011010101      L1+L3+L5+L7+L8                       8   8  27   0x08081B
011010110      L2+L3+L5+L7+L8                       7  28  27   0x071C1B
011010111      L1+L2+L3+L5+L7+L8                    4  14  13   0x040E0D
011011000      L4+L5+L7+L8                         15  15  78   0x0F0F4E
011011001      L1+L4+L5+L7+L8                       8   7  39   0x080727
011011010      L2+L4+L5+L7+L8                       7  27  39   0x071B27
011011011      L1+L2+L4+L5+L7+L8                    4  13  19   0x040D13
011011100      L3+L4+L5+L7+L8                       7   9  39   0x070927
011011101      L1+L3+L4+L5+L7+L8                    4   4  19   0x040413
011011110      L2+L3+L4+L5+L7+L8                    3  24  19   0x031813
011011111      L1+L2+L3+L4+L5+L7+L8                 2  12   9   0x020C09
011100000      L6+L7+L8                            31  31  31   0x1F1F1F
011100001      L1+L6+L7+L8                         16  15  15   0x100F0F
011100010      L2+L6+L7+L8                         15  35  15   0x0F230F
011100011      L1+L2+L6+L7+L8                       8  17   7   0x081107
011100100      L3+L6+L7+L8                         15  17  15   0x0F110F
011100101      L1+L3+L6+L7+L8                       8   8   7   0x080807
011100110      L2+L3+L6+L7+L8                       7  28   7   0x071C07
011100111      L1+L2+L3+L6+L7+L8                    4  14   3   0x040E03
011101000      L4+L6+L7+L8                         15  15  39   0x0F0F27
011101001      L1+L4+L6+L7+L8                       8   7  19   0x080713
011101010      L2+L4+L6+L7+L8                       7  27  19   0x071B13
011101011      L1+L2+L4+L6+L7+L8                    4  13   9   0x040D09
011101100      L3+L4+L6+L7+L8                       7   9  19   0x070913
011101101      L1+L3+L4+L6+L7+L8                    4   4   9   0x040409
011101110      L2+L3+L4+L6+L7+L8                    3  24   9   0x031809
011101111      L1+L2+L3+L4+L6+L7+L8                 2  12   4   0x020C04
011110000      L5+L6+L7+L8                         15  15 127   0x0F0F7F
011110001      L1+L5+L6+L7+L8                       8   7  63   0x08073F
011110010      L2+L5+L6+L7+L8                       7  27  63   0x071B3F
011110011      L1+L2+L5+L6+L7+L8                    4  13  31   0x040D1F
011110100      L3+L5+L6+L7+L8                       7   9  63   0x07093F
011110101      L1+L3+L5+L6+L7+L8                    4   4  31   0x04041F
011110110      L2+L3+L5+L6+L7+L8                    3  24  31   0x03181F
011110111      L1+L2+L3+L5+L6+L7+L8                 2  12  15   0x020C0F
011111000      L4+L5+L6+L7+L8                       7   7  86   0x070756
011111001      L1+L4+L5+L6+L7+L8                    4   3  43   0x04032B
